setting,loaded,license_ok,schema_ok,license_status,schema_transform,source_count
R_u4tsc_cwrBearing,1.0,1.0,1.0,research_only,classification_to_regression_via_accuracy_table_features,2.0
R_u4tsc_mfd,1.0,1.0,1.0,research_only,classification_to_regression_via_accuracy_table_features,2.0
