config_id,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,ess_floor,cond_ref,gamma_ess_scale,gamma_cond_scale,pooled_gap_mean,pooled_p_value,pooled_test,pooled_n_pairs,stability_mse_mean,pooled_mse_mean,holm_adjusted_p,stability_beats_pooled,holm_significant
cfg_0327,0.3,0.1,0.1,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008985878515738685,0.4304563940603834,paired_wilcoxon,25,0.08227966188783911,0.0912655404035778,1.0,True,False
cfg_0326,0.3,0.1,0.1,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.008985878399187519,0.4304563940603834,paired_wilcoxon,25,0.08227966200439027,0.0912655404035778,1.0,True,False
cfg_0247,0.3,0.0,0.1,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008985872394960917,0.4304563940603834,paired_wilcoxon,25,0.08227966776211676,0.09126554015707768,1.0,True,False
cfg_0343,0.3,0.1,0.1,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008985872394960917,0.4304563940603834,paired_wilcoxon,25,0.08227966776211676,0.09126554015707768,1.0,True,False
cfg_0342,0.3,0.1,0.1,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.008985860796333085,0.4304563940603834,paired_wilcoxon,25,0.0822796793607446,0.09126554015707768,1.0,True,False
cfg_0262,0.3,0.0,0.5,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.008916139105535651,0.4304563940603834,paired_wilcoxon,25,0.08234940129804215,0.0912655404035778,1.0,True,False
cfg_0358,0.3,0.1,0.5,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.008916139105535651,0.4304563940603834,paired_wilcoxon,25,0.08234940129804215,0.0912655404035778,1.0,True,False
cfg_0278,0.3,0.0,0.5,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.008916135639020852,0.4304563940603834,paired_wilcoxon,25,0.0823494045180568,0.09126554015707768,1.0,True,False
cfg_0374,0.3,0.1,0.5,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.008916135639020852,0.4304563940603834,paired_wilcoxon,25,0.0823494045180568,0.09126554015707768,1.0,True,False
cfg_0070,0.1,0.0,0.5,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.008804839433117669,0.4304563940603834,paired_wilcoxon,25,0.08246070097046015,0.0912655404035778,1.0,True,False
cfg_0071,0.1,0.0,0.5,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008804839433117669,0.4304563940603834,paired_wilcoxon,25,0.08246070097046015,0.0912655404035778,1.0,True,False
cfg_0166,0.1,0.1,0.5,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.008804839433117669,0.4304563940603834,paired_wilcoxon,25,0.08246070097046015,0.0912655404035778,1.0,True,False
cfg_0167,0.1,0.1,0.5,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008804839433117669,0.4304563940603834,paired_wilcoxon,25,0.08246070097046015,0.0912655404035778,1.0,True,False
cfg_0086,0.1,0.0,0.5,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.00880483273105915,0.4304563940603834,paired_wilcoxon,25,0.08246070742601852,0.09126554015707768,1.0,True,False
cfg_0087,0.1,0.0,0.5,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.00880483273105915,0.4304563940603834,paired_wilcoxon,25,0.08246070742601852,0.09126554015707768,1.0,True,False
cfg_0182,0.1,0.1,0.5,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.00880483273105915,0.4304563940603834,paired_wilcoxon,25,0.08246070742601852,0.09126554015707768,1.0,True,False
cfg_0183,0.1,0.1,0.5,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.00880483273105915,0.4304563940603834,paired_wilcoxon,25,0.08246070742601852,0.09126554015707768,1.0,True,False
cfg_0263,0.3,0.0,0.5,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008630485863800295,0.5801073387995366,paired_wilcoxon,25,0.0826350545397775,0.0912655404035778,1.0,True,False
cfg_0359,0.3,0.1,0.5,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008630485863800295,0.5801073387995366,paired_wilcoxon,25,0.0826350545397775,0.0912655404035778,1.0,True,False
cfg_0279,0.3,0.0,0.5,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008630481638477537,0.5801073387995366,paired_wilcoxon,25,0.08263505851860015,0.09126554015707768,1.0,True,False
cfg_0375,0.3,0.1,0.5,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.008630481638477537,0.5801073387995366,paired_wilcoxon,25,0.08263505851860015,0.09126554015707768,1.0,True,False
