setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
A,11,stability_aware_composite,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06715342976770106,383.3440213108836,7.8022246060811,1.2022202669530664,3.130347503251266,0.006045246075338094,0.006045246075338094,0.507874025742904
A,11,random_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06325558055457892,338.0081958321732,8.426091579199033,1.543191472550806,3.550209772391217,0.002147396862215954,0.002147396862215954,0.507874025742904
A,11,mmd_nearest_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06715342976770106,383.3440213108836,7.8022246060811,1.2022202669530664,3.130347503251266,0.006045246075338094,0.006045246075338094,0.507874025742904
A,11,wasserstein_nearest_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06715342976770106,383.3440213108836,7.8022246060811,1.2022202669530664,3.130347503251266,0.006045246075338094,0.006045246075338094,0.507874025742904
A,11,pooled_source_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06304277405313609,17392.306392002443,2.4498600489080427,0.10272219442523021,1.1039363938896667,0.0019345903607731266,0.0019345903607731266,0.507874025742904
A,11,single_source_unweighted_LS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06214245730838788,1199.999999999999,9.730471323262972,0.0,1.0,0.0010342736160249208,0.0010342736160249208,0.507874025742904
A,11,mixed_shift_gate_plus_composite,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06715342976770106,383.3440213108836,7.8022246060811,1.2022202669530664,3.130347503251266,0.006045246075338094,0.006045246075338094,0.507874025742904
A,11,oracle_best_source_retrospective,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06110818369236296,340.3520696330662,10.108681960535552,1.4665956540414455,3.5257608431223706,0.0,0.0,0.507874025742904
A,23,stability_aware_composite,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.07243285359781729,458.94063914707806,7.851304410298789,1.0304134316844682,2.614717237126881,0.007280519610636929,0.007280519610636929,0.5079220201956007
A,23,random_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06568358413781013,341.41465554820655,13.387011080614757,1.2624219618117412,3.5147876064583095,0.0005312501506297695,0.0005312501506297695,0.5079220201956007
A,23,mmd_nearest_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.07243285359781729,458.94063914707806,7.851304410298789,1.0304134316844682,2.614717237126881,0.007280519610636929,0.007280519610636929,0.5079220201956007
A,23,wasserstein_nearest_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.07243285359781729,458.94063914707806,7.851304410298789,1.0304134316844682,2.614717237126881,0.007280519610636929,0.007280519610636929,0.5079220201956007
A,23,pooled_source_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06796816628380223,17926.3653447831,3.0615437940597605,0.0769966496213358,1.0710481255141113,0.00281583229662187,0.00281583229662187,0.5079220201956007
A,23,single_source_unweighted_LS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06743808187926785,1199.999999999999,12.128859288517349,0.0,1.0,0.002285747892087492,0.002285747892087492,0.5079220201956007
A,23,mixed_shift_gate_plus_composite,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.07243285359781729,458.94063914707806,7.851304410298789,1.0304134316844682,2.614717237126881,0.007280519610636929,0.007280519610636929,0.5079220201956007
A,23,oracle_best_source_retrospective,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06515233398718036,315.51497195228995,13.077967172057864,1.627963536089607,3.803306044613711,0.0,0.0,0.5079220201956007
A,47,stability_aware_composite,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.0885083545704136,282.04434156275295,2.269708096566056,1.8341661567069492,4.254650149500397,0.028497871731249798,0.028497871731249798,0.5023421980004529
A,47,random_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06141627984924966,310.30846683466916,6.312928179138659,1.680631404870457,3.867119747747941,0.001405797010085856,0.001405797010085856,0.5023421980004529
A,47,mmd_nearest_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.060911502588158584,277.88131929993216,7.207333342442069,1.5690259950306162,4.318390322237236,0.0009010197489947788,0.0009010197489947788,0.5023421980004529
A,47,wasserstein_nearest_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.060911502588158584,277.88131929993216,7.207333342442069,1.5690259950306162,4.318390322237236,0.0009010197489947788,0.0009010197489947788,0.5023421980004529
A,47,pooled_source_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.060190414907455976,18011.574312795256,2.463252308588618,0.06457153632061993,1.0659812222061786,0.00017993206829217123,0.00017993206829217123,0.5023421980004529
A,47,single_source_unweighted_LS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06033585835176935,1199.999999999999,10.610403464529861,0.0,1.0,0.0003253755126055441,0.0003253755126055441,0.5023421980004529
A,47,mixed_shift_gate_plus_composite,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.0885083545704136,282.04434156275295,2.269708096566056,1.8341661567069492,4.254650149500397,0.028497871731249798,0.028497871731249798,0.5023421980004529
A,47,oracle_best_source_retrospective,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.060010482839163805,250.5077581340577,6.816769595055625,1.794624252924162,4.790270804108162,0.0,0.0,0.5023421980004529
A,89,stability_aware_composite,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.07994268263623742,335.6778589716527,4.535701375806507,1.3897488477364786,3.574855975524642,0.015193129736043254,0.015193129736043254,0.5046375862567618
A,89,random_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.06703723865521222,349.02977495394407,11.381788426485857,1.619205627019966,3.438102093574293,0.0022876857550180457,0.0022876857550180457,0.5046375862567618
A,89,mmd_nearest_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.07994268263623742,335.6778589716527,4.535701375806507,1.3897488477364786,3.574855975524642,0.015193129736043254,0.015193129736043254,0.5046375862567618
A,89,wasserstein_nearest_source_plus_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.07994268263623742,335.6778589716527,4.535701375806507,1.3897488477364786,3.574855975524642,0.015193129736043254,0.015193129736043254,0.5046375862567618
A,89,pooled_source_IWLS,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,none,16,True,0.07943079101802848,18120.148294023682,2.3128223966340746,0.06488246897258401,1.0595939772823633,0.014681238117834311,0.014681238117834311,0.5046375862567618
