uncertainty_regime,n_pairs,mean_gap_stability_minus_pooled,median_gap_stability_minus_pooled,paired_test,p_value
high,13,0.03359966429241125,0.005851656559706653,paired_wilcoxon,0.97607421875
low,12,0.0010322874013347619,4.61428919674436e-08,paired_wilcoxon,0.992431640625
