setting,method,target_mse_mean,target_mse_ci_low,target_mse_ci_high,target_mse_std,ess_mean,ess_std,excess_risk_mean
A,oracle_best_source_retrospective,0.06250416989201386,0.05964365432169535,0.06536468546233237,0.0023037758801548874,331.928398620152,54.19973487912963,0.0
A,single_source_unweighted_LS,0.06386872900727436,0.060226718209743124,0.0675107398048056,0.002933169362081769,1199.999999999999,0.0,0.001364559115260508
A,pooled_source_IWLS,0.06737597794275303,0.058223156183326324,0.07652879970217974,0.0073714159165986235,17640.446010449272,570.263514117765,0.004871808050739171
A,random_source_plus_IWLS,0.06756577183340952,0.05823544386779576,0.07689609979902329,0.007514374242235704,304.90056940324274,68.19979632784542,0.0050616019413956504
A,mmd_nearest_source_plus_IWLS,0.06907580173486767,0.05993401890075812,0.07821758456897723,0.007362525487840821,396.4306375862865,98.35151311387618,0.006571631842853811
A,wasserstein_nearest_source_plus_IWLS,0.06907580173486767,0.05993401890075812,0.07821758456897723,0.007362525487840821,396.4306375862865,98.35151311387618,0.006571631842853811
A,mixed_shift_gate_plus_composite,0.07459517213131868,0.0625651490297616,0.08662519523287576,0.009688630031119645,397.2632420388506,97.10676885277846,0.012091002239304814
A,stability_aware_composite,0.07459517213131868,0.0625651490297616,0.08662519523287576,0.009688630031119645,397.2632420388506,97.10676885277846,0.012091002239304814
B,oracle_best_source_retrospective,0.12248651358628213,0.11623806056899594,0.1287349666035683,0.005032321969812621,377.9721308432926,54.10328774722807,0.0
B,single_source_unweighted_LS,0.1257506752697719,0.11752633928751785,0.13397501125202596,0.0066236405292830255,1199.999999999999,0.0,0.0032641616834897524
B,pooled_source_IWLS,0.12898589965795162,0.11085251777252106,0.1471192815433822,0.01460409733362888,17203.59618733857,710.1654220195236,0.006499386071669488
B,random_source_plus_IWLS,0.135752563102132,0.11383349137832835,0.15767163482593563,0.01765298160815854,401.8435286005598,94.84136211816447,0.013266049515849851
B,mmd_nearest_source_plus_IWLS,0.13824684688756733,0.11682274423203808,0.15967094954309657,0.01725434794479194,330.015426119403,80.34946007612103,0.015760333301285172
B,wasserstein_nearest_source_plus_IWLS,0.13824684688756733,0.11682274423203808,0.15967094954309657,0.01725434794479194,330.015426119403,80.34946007612103,0.015760333301285172
B,mixed_shift_gate_plus_composite,0.15209571966276844,0.09346058589214476,0.21073085343339212,0.047223028013574836,388.9511454505745,65.30316888059637,0.02960920607648627
B,stability_aware_composite,0.15209571966276844,0.09346058589214476,0.21073085343339212,0.047223028013574836,388.9511454505745,65.30316888059637,0.02960920607648627
C,oracle_best_source_retrospective,0.20230497306828182,0.19176172157499477,0.21284822456156888,0.008491227504815565,480.3841062958625,78.48837073393197,0.0
C,pooled_source_IWLS,0.20773801358605692,0.18607494730078544,0.2294010798713284,0.017446802288388855,17055.81177787436,745.0281886165795,0.0054330405177750955
C,single_source_unweighted_LS,0.20880589431920443,0.19326207287175187,0.224349715766657,0.012518540820977996,1199.999999999999,0.0,0.006500921250922598
C,random_source_plus_IWLS,0.22690014100764064,0.1893229694013765,0.2644773126139048,0.03026355895042833,481.8029738898957,101.81897962857153,0.024595167939358804
C,mmd_nearest_source_plus_IWLS,0.22897203493834248,0.19508100508537107,0.2628630647913139,0.02729484780262567,336.3718118257486,83.34254040981784,0.026667061870060644
