setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
A,89,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.14513020688557532,77.76511528381558,8.632407202641058,3.977794679998106,15.431083662836864,0.07948133528082442,0.07948133528082442,0.5239613786051117
A,89,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.08519426035613795,91.5599338251008,8.644124474625034,4.312161643695662,13.106169367571413,0.019545388751387047,0.019545388751387047,0.5239613786051117
A,89,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06923197348404524,89.24438087923647,9.16835013776719,3.6474009110272974,13.446224716563256,0.003583101879294337,0.003583101879294337,0.5239613786051117
A,89,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07254765130142274,1117.5427414825517,5.376773363907891,5.556971366238087,8.59027547102328,0.006898779696671839,0.006898779696671839,0.5239613786051117
A,89,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06322308786551313,1199.999999999999,12.82232782691978,0.0,1.0,-0.002425783739237769,-0.002425783739237769,0.5239613786051117
A,89,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06923197348404524,89.24438087923647,9.16835013776719,3.6474009110272974,13.446224716563256,0.003583101879294337,0.003583101879294337,0.5239613786051117
A,89,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.0656488716047509,70.60365368522687,7.039600783183272,4.215024288727598,16.996287548310587,0.0,0.0,0.5239613786051117
A,131,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.5187197168645779,121.45893958742998,7.7256488899795,0.7825458558384197,9.879882073197896,0.44629931741861095,0.44629931741861095,0.7664579115557071
A,131,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07987847605722752,47.99571955111052,11.9961667063191,0.7352592579055774,25.00222959717698,0.007458076611260633,0.007458076611260633,0.7664579115557071
A,131,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.08114187439311138,61.2868775659333,16.160743807704247,3.564804522577804,19.58004792632027,0.008721474947144495,0.008721474947144495,0.7664579115557071
A,131,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.08114187439311138,61.2868775659333,16.160743807704247,3.564804522577804,19.58004792632027,0.008721474947144495,0.008721474947144495,0.7664579115557071
A,131,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.09625130935567375,712.7740473413534,11.376809408667112,5.143514933336309,13.468503848847364,0.023830909909706863,0.023830909909706863,0.7664579115557071
A,131,single_source_unweighted_LS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.06595114094264803,1199.999999999999,8.879710632169587,0.0,1.0,-0.0064692585033188504,-0.0064692585033188504,0.7664579115557071
A,131,mixed_shift_gate_plus_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.08114187439311138,61.2868775659333,16.160743807704247,3.564804522577804,19.58004792632027,0.008721474947144495,0.008721474947144495,0.7664579115557071
A,131,oracle_best_source_retrospective,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.07242039944596688,61.253251001617684,16.716686827891678,3.003011764316906,19.59079690249395,0.0,0.0,0.7664579115557071
B,11,stability_aware_composite,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.12385995006625916,1136.8779248745864,30.43461183407993,0.07693025330939747,1.0555222978634735,0.0011558903018784178,0.0011558903018784178,0.5282545967666183
B,11,random_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.12425653107951694,118.04287091659845,29.000716043936126,0.42904313121140536,10.165798158616962,0.0015524713151361946,0.0015524713151361946,0.5282545967666183
B,11,mmd_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.17136540703288158,105.47295022662561,23.890704312176403,0.5725077803466189,11.377324681528535,0.04866134726850084,0.04866134726850084,0.5282545967666183
B,11,wasserstein_nearest_source_plus_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.17136540703288158,105.47295022662561,23.890704312176403,0.5725077803466189,11.377324681528535,0.04866134726850084,0.04866134726850084,0.5282545967666183
B,11,pooled_source_IWLS,0.3,0.5,0.5,0.001,gaussian_diag_proxy,p99,8,True,0.12421207332007687,473.07539249984285,7.096020940720275,1.0925719433619108,20.29274858023302,0.0015080135556961305,0.0015080135556961305,0.5282545967666183
