setting,method,target_mse_mean,target_mse_ci_low,target_mse_ci_high,target_mse_std,ess_mean,ess_std,excess_risk_mean
A,oracle_best_source_retrospective,0.06865283977918377,0.06480843064758504,0.07249724891078249,0.0030961750821157574,74.17098286245803,17.089848730829974,0.0
A,single_source_unweighted_LS,0.07057507034187332,0.054621108637535234,0.08652903204621142,0.012848855831704609,1199.999999999999,0.0,0.0019222305626895627
A,random_source_plus_IWLS,0.08643751412273351,0.04522670005895035,0.12764832818651667,0.033189988695331595,56.41878110076849,15.251540451269307,0.01778467434354975
A,pooled_source_IWLS,0.08707120561166626,0.07033883659595833,0.10380357462737419,0.01347576239619863,1149.6938009905853,416.2288154850624,0.01841836583248251
A,mixed_shift_gate_plus_composite,0.09877436914923686,0.03346418457909481,0.1640845537193789,0.052598919405428615,79.8497271806825,16.920233477219735,0.0301215293700531
A,wasserstein_nearest_source_plus_IWLS,0.10186942606676248,0.03792920285537746,0.1658096492781475,0.05149559245003741,81.06052754976409,13.905901982617333,0.03321658628757873
A,mmd_nearest_source_plus_IWLS,0.10506188344118103,0.04369967310119006,0.166424093781172,0.04941933601099795,81.52363813893695,14.280109939421738,0.03640904366199728
A,stability_aware_composite,0.19769217340895148,-0.040047560927030046,0.435431907744933,0.19146865390307233,226.16796699413356,288.4731895328888,0.12903933362976772
B,oracle_best_source_retrospective,0.12386068713176845,0.11238283666125198,0.13533853760228493,0.009243926285308054,1165.3211915230197,62.8361123315356,0.0
B,stability_aware_composite,0.12409186519214413,0.11264099485893225,0.135542735525356,0.009222197268968994,1152.696776497937,60.42149542668683,0.00023117806037568355
B,pooled_source_IWLS,0.14559435384559996,0.12172321565155447,0.16946549203964545,0.019225119056828853,522.6569004443103,109.05140814197503,0.021733666713831513
B,single_source_unweighted_LS,0.14967183919380417,0.08860565933322459,0.21073801905438375,0.04918092168970037,1199.999999999999,0.0,0.025811152062035735
B,random_source_plus_IWLS,0.15271675904885545,0.07981831975789606,0.22561519833981486,0.05871027862321602,520.4902741542168,621.0774084257728,0.028856071917087008
B,mixed_shift_gate_plus_composite,0.1562697662510116,0.11018400807515077,0.20235552442687244,0.037116126619222395,281.50887089521683,436.3103917856159,0.032409079119243164
B,wasserstein_nearest_source_plus_IWLS,0.19626880075996916,0.09466786626917195,0.2978697352507664,0.08182643181873421,63.187532714739675,26.13671146687327,0.0724081136282007
B,mmd_nearest_source_plus_IWLS,0.21792014773472218,0.12212159585575824,0.31371869961368615,0.07715336195424011,58.22177324961592,26.979939420537768,0.09405946060295373
C,oracle_best_source_retrospective,0.20247553948469604,0.18336343840788366,0.22158764056150843,0.015392329248863334,1085.7368435818678,252.74712133140548,0.0
C,stability_aware_composite,0.20326745274262242,0.1840634316952585,0.22247147378998636,0.015466358914444771,1137.3433537114847,130.14880824641014,0.0007919132579264021
C,random_source_plus_IWLS,0.22276213871916956,0.16591497991738338,0.27960929752095576,0.045783045078236405,990.5875643016637,466.70135265115056,0.02028659923447356
C,mixed_shift_gate_plus_composite,0.22637453012136138,0.16471255016111622,0.2880365100816066,0.04966076172736555,749.2362091956136,431.71283817622725,0.023898990636665358
C,pooled_source_IWLS,0.24084394896081718,0.19419564431359188,0.2874922536080425,0.037569185153719875,1586.73787874619,2637.7699984837946,0.03836840947612114
C,single_source_unweighted_LS,0.2791541917191195,0.09262939944301371,0.4656789839952252,0.15022163205661054,1199.999999999999,0.0,0.0766786522344235
C,wasserstein_nearest_source_plus_IWLS,0.30506558046092125,0.11011404617606041,0.5000171147457821,0.15700828450118934,394.9357362343415,514.3603519491322,0.10259004097622526
C,mmd_nearest_source_plus_IWLS,0.32806258386401066,0.14684417783927275,0.5092809898887486,0.14594802320667669,284.2334322410582,509.69188553382486,0.12558704437931467
R_u4tsc_cwrBearing,pooled_source_IWLS,1.6564801616193873e-08,1.6564801616193873e-08,1.6564801616193873e-08,0.0,76.99999999999906,0.0,-5.137195677480903e-06
R_u4tsc_cwrBearing,single_source_unweighted_LS,5.049108334093189e-06,5.049108334093189e-06,5.049108334093189e-06,0.0,46.999999999999,0.0,-1.0465214500390776e-07
R_u4tsc_cwrBearing,mixed_shift_gate_plus_composite,5.153760479097097e-06,5.153760479097097e-06,5.153760479097097e-06,0.0,6.823411925914698,0.0,0.0
R_u4tsc_cwrBearing,oracle_best_source_retrospective,5.153760479097097e-06,5.153760479097097e-06,5.153760479097097e-06,0.0,6.823411925914698,0.0,0.0
R_u4tsc_cwrBearing,stability_aware_composite,5.153760479097097e-06,5.153760479097097e-06,5.153760479097097e-06,0.0,6.823411925914698,0.0,0.0
R_u4tsc_cwrBearing,random_source_plus_IWLS,9.575939647351856e-06,6.506455220849712e-06,1.2645424073854e-05,2.472073307225281e-06,4.965394858142438,1.0386631167234017,4.42217916825476e-06
R_u4tsc_cwrBearing,mmd_nearest_source_plus_IWLS,1.0681484439415547e-05,1.0681484439415547e-05,1.0681484439415547e-05,0.0,4.500890591199373,0.0,5.52772396031845e-06
R_u4tsc_cwrBearing,wasserstein_nearest_source_plus_IWLS,1.0681484439415547e-05,1.0681484439415547e-05,1.0681484439415547e-05,0.0,4.500890591199373,0.0,5.52772396031845e-06
R_u4tsc_mfd,pooled_source_IWLS,8.336603460462945e-09,8.336603460462945e-09,8.336603460462945e-09,0.0,76.99999999999908,0.0,-2.015146460926565e-07
R_u4tsc_mfd,single_source_unweighted_LS,1.1527285185249551e-07,1.152728518524955e-07,1.1527285185249552e-07,1.4797056634707887e-23,46.999999999999,0.0,-9.457839770062392e-08
R_u4tsc_mfd,mixed_shift_gate_plus_composite,2.0985124955311942e-07,2.098512495531194e-07,2.0985124955311944e-07,2.9594113269415773e-23,22.870366141255587,0.0,0.0
R_u4tsc_mfd,mmd_nearest_source_plus_IWLS,2.0985124955311942e-07,2.098512495531194e-07,2.0985124955311944e-07,2.9594113269415773e-23,22.870366141255587,0.0,0.0
R_u4tsc_mfd,oracle_best_source_retrospective,2.0985124955311942e-07,2.098512495531194e-07,2.0985124955311944e-07,2.9594113269415773e-23,22.870366141255587,0.0,0.0
R_u4tsc_mfd,stability_aware_composite,2.0985124955311942e-07,2.098512495531194e-07,2.0985124955311944e-07,2.9594113269415773e-23,22.870366141255587,0.0,0.0
R_u4tsc_mfd,wasserstein_nearest_source_plus_IWLS,2.0985124955311942e-07,2.098512495531194e-07,2.0985124955311944e-07,2.9594113269415773e-23,22.870366141255587,0.0,0.0
R_u4tsc_mfd,random_source_plus_IWLS,0.00020836389727213055,-0.0003695643849343706,0.0007862921794786317,0.00046544659669810277,18.538636485179897,9.686041971137033,0.0002081540460225774
